Designator,Footprint,Quantity,Value,LCSC Part #
"C14, C18_2, C32",0805,3,10u,
"C15, C16",0402,2,15p,
"C17, C18, C21, C24, C25, C26, C27, C28, C29, C30, C31, C6",0402,12,100n,
"C19, C20, C22, C23",0402,4,4.7u,
D2,0603,1,Power,
D3,0603,1,Com,
D4,0603,1,Signal,
D5,SOT95P230X110-3N,1,TVS,
D7,D_SOD-123F,1,PMEG6010ELR,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
L1,L_pol_2016,1,3.3u,
Q1,SOT-23,1,T2N7002AK,
R1,0402,1,470,
"R10, R8",0402,2,5k1,
"R11, R13",0402,2,DNF,
R12,0402,1,0,
"R14, R17, R2, R3, R4, R7",0402,6,1k,
R16,0402,1,33,
"R18, R19",0402,2,27,
R9,0402,1,150,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,
TP1,TestPoint_Pad_1.0x1.0mm,1,Out Sense,
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
XT1,HFBR-X41X,1,HFBR-1412,HFBR-1412
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
