Designator,Mid X,Mid Y,Rotation,Layer
C14,3.425,83.25,90.0,top
C15,34.275,92.97,270.0,top
C16,34.3,95.925,90.0,top
C17,12.975,91.825,180.0,top
C18_2,33.0,83.575,180.0,top
C18,29.375,86.65,180.0,top
C19,17.52,96.055,90.0,top
C20,16.32,96.03,90.0,top
C21,28.625,96.225,0.0,top
C22,15.12,96.055,270.0,top
C23,30.525,90.525,0.0,top
C24,26.9,86.675,0.0,top
C25,29.35,87.95,180.0,top
C26,29.3,89.2,180.0,top
C27,32.95,85.45,180.0,top
C28,32.95,86.7,180.0,top
C29,32.95,87.95,0.0,top
C30,32.95,89.175,0.0,top
C31,32.95,90.4,0.0,top
C32,29.575,84.875,180.0,top
C6,44.4,83.0,0.0,top
D2,8.55,97.7375,90.0,top
D3,10.455,97.7375,90.0,top
D4,12.36,97.7375,90.0,top
D5,4.97,90.46,0.0,top
D7,-0.525,82.9,180.0,top
J8,-1.68,90.455886,270.0,top
L1,20.2,97.1,180.0,top
Q1,37.375,85.325,180.0,top
R1,40.9,83.0,180.0,top
R10,-1.9,84.6,0.0,top
R11,25.525,82.425,180.0,top
R12,24.575,84.475,270.0,top
R13,25.525,84.485,270.0,top
R14,32.075,92.75,0.0,top
R16,13.92,96.03,90.0,top
R17,3.825,97.05,180.0,top
R18,17.195,92.0,0.0,top
R19,17.195,93.1,0.0,top
R2,8.55,94.7925,90.0,top
R3,10.475,94.7925,90.0,top
R4,12.4,94.7925,90.0,top
R7,37.25,87.9,0.0,top
R8,4.125,95.725,0.0,top
R9,38.575,89.375,270.0,top
SW1,-0.5,97.8,0.0,top
U1,18.7,84.005,90.0,top
U2,8.9,85.1,180.0,top
U3,23.5,91.9,90.0,top
XT1,44.6975,90.450115,90.0,top
Y1,37.553641,94.35,90.0,top
